ubid,canonical_business_name,canonical_address,district,pin_code,business_type,business_category,activity_status,confidence,source_record_count,linked_departments,created_at,last_activity_date,audit_policy,entity_id_ground_truth
KA-BLRU-560076-000011,Naveen Fashions Traders,"No 34, B Main Road, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Textile / Garments,Manufacturing,ACTIVE,99,5,FACTORY|GST|LABOUR|SHOP|UDYAM,2026-03-06,2025-11-06,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00011
KA-MYS-570001-000012,Naveen Systems Pvt Ltd,"No 291, D Sector, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Electronics Assembly,Manufacturing,DORMANT,99,3,FACTORY|KSPCB|UDYAM,2026-04-24,2024-02-21,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00012
KA-MYS-570001-000013,Mysore Bites Works,"No 4, D 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Restaurant / Cafe,Service,ACTIVE,99,3,BBMP|GST|SHOP,2026-04-14,2025-06-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00013
KA-BLRU-560100-000014,Siddhi Industrial Industries,"No 243, B Extension, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Chemical Blending,Manufacturing,ACTIVE,99,6,BBMP|FACTORY|KSPCB|LABOUR|SHOP|UDYAM,2026-04-13,2025-07-18,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00014
KA-BLRR-562110-000015,Meghana Warehouse Traders,"No 57, D Near Bus Stop, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,Logistics / Warehouse,Service,DORMANT,94,4,BBMP|GST|LABOUR|UDYAM,2026-05-03,2024-12-06,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00015
KA-BLRR-561203-000016,Nandi Trans Solutions,"No 162, Sector, Doddaballapura, Bengaluru Rural, Karnataka - 561203",Bengaluru Rural,561203,Logistics / Warehouse,Service,ACTIVE,89,3,GST|LABOUR|SHOP,2026-03-21,2026-05-03,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00016
KA-BLRR-562110-000017,Mysore Cafe Traders,"No 202, D Service Road, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,Restaurant / Cafe,Service,ACTIVE,77,3,BBMP|GST|LABOUR,2026-03-15,2025-10-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00017
KA-BLRU-560066-000018,Mysore Mold Solutions,"No 215, A Main Road, Whitefield Main Road, Bengaluru Urban, Karnataka - 560066",Bengaluru Urban,560066,Plastic Moulding,Manufacturing,ACTIVE,99,6,BBMP|FACTORY|GST|KSPCB|SHOP|UDYAM,2026-03-05,2026-02-16,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00018
KA-BLRR-562110-000019,Veda Coatings Works,"No 201, B Service Road, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,Chemical Blending,Manufacturing,ACTIVE,82,4,FACTORY|GST|KSPCB|SHOP,2026-03-20,2026-02-20,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00019
KA-BLRU-560068-000020,Navya Devices Co,"No 51, A Behind Metro, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Electronics Assembly,Manufacturing,DORMANT,99,3,FACTORY|GST|UDYAM,2026-04-15,2024-09-22,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00020
KA-MYS-570016-000021,Prakruthi Packaging Solutions,"No 45, A Service Road, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Printing / Packaging,Manufacturing,DORMANT,89,3,GST|KSPCB|LABOUR,2026-03-09,2024-08-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00021
KA-MYS-570016-000022,Ravi Plastics Works,"No 65, B Near Bus Stop, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Plastic Moulding,Manufacturing,DORMANT,99,4,FACTORY|KSPCB|LABOUR|SHOP,2026-03-24,2025-03-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00022
KA-BLRU-560102-000023,Sri Devices Solutions,"No 104, Shed Industrial Layout, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Electronics Assembly,Manufacturing,ACTIVE,99,6,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,2026-04-26,2026-03-21,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00023
KA-BLRU-560085-000024,Sree Solutions,"No 101, A Extension, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Food Processing,Manufacturing,ACTIVE,89,3,GST|LABOUR|SHOP,2026-03-27,2025-11-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00024
KA-BLRU-560059-000025,Harsha Biryani Works,"No 136, C 1st Cross, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Restaurant / Cafe,Service,ACTIVE,99,4,BBMP|FACTORY|LABOUR|SHOP,2026-04-13,2026-02-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00025
KA-BLRU-560068-000026,Bangalore Moulding Associates,"No 266, Shed Sector, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Plastic Moulding,Manufacturing,ACTIVE,99,6,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2026-03-31,2026-04-26,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00026
KA-BLRU-560059-000027,Sree Electronics Industries,"No 50, B Industrial Layout, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Electronics Assembly,Manufacturing,CLOSED,84,2,FACTORY|GST,2026-03-19,2021-04-19,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00027
KA-MYS-570016-000028,Bangalore Solutions,"No 108, B Near Bus Stop, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Pharmacy / Medical Retail,Retail,ACTIVE,72,2,BBMP|SHOP,2026-04-23,2025-12-25,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00028
KA-BLRU-560064-000029,Asha Co,"No 177, C 2nd Main, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Textile / Garments,Manufacturing,ACTIVE,99,3,FACTORY|GST|UDYAM,2026-03-05,2026-01-06,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00029
KA-BLRR-562110-000030,Bharath Garments Traders,"No 18, Plot Extension, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,Textile / Garments,Manufacturing,ACTIVE,99,5,FACTORY|GST|LABOUR|SHOP|UDYAM,2026-03-10,2025-05-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00030
KA-BLRU-560102-000031,Mysore Enterprises,"No 256, B Main Road, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Machine Tools,Manufacturing,ACTIVE,99,6,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2026-04-16,2026-02-03,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00031
KA-BLRR-561203-000032,Omkar LLP,"No 161, Shed Near Bus Stop, Doddaballapura, Bengaluru Rural, Karnataka - 561203",Bengaluru Rural,561203,Pharmacy / Medical Retail,Retail,ACTIVE,99,3,GST|LABOUR|SHOP,2026-03-13,2025-09-19,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00032
KA-MYS-570018-000033,Deccan Industries,"No 125, D Industrial Layout, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,Textile / Garments,Manufacturing,ACTIVE,99,4,GST|LABOUR|SHOP|UDYAM,2026-04-09,2026-01-23,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00033
KA-BLRU-560085-000034,Nandi Cargo Company,"No 2, A Near Bus Stop, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Logistics / Warehouse,Service,CLOSED,96,2,GST|UDYAM,2026-03-23,2025-02-03,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00034
KA-BLRU-560102-000035,Kaveri Components Pvt Ltd,"No 106, Plot Behind Metro, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Electronics Assembly,Manufacturing,ACTIVE,82,4,GST|KSPCB|SHOP|UDYAM,2026-04-28,2025-07-30,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00035
KA-TUM-572101-000036,Nandi Stores LLP,"No 4, Main Road, BH Road, Tumakuru, Karnataka - 572101",Tumakuru,572101,Logistics / Warehouse,Service,CLOSED,96,2,GST|LABOUR,2026-04-10,2020-06-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00036
KA-BLRR-562114-000037,Kaveri Cafe LLP,"No 144, Main Road, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Restaurant / Cafe,Service,ACTIVE,99,3,FACTORY|GST|SHOP,2026-04-19,2025-12-30,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00037
KA-BLRU-560085-000038,Meghana Bites Associates,"No 2, D Sector, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Restaurant / Cafe,Service,ACTIVE,99,3,GST|SHOP|UDYAM,2026-03-05,2025-12-11,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00038
KA-BLRU-560024-000039,Nisarga Industrial Co,"No 203, C Service Road, Hebbal, Bengaluru Urban, Karnataka - 560024",Bengaluru Urban,560024,Chemical Blending,Manufacturing,ACTIVE,96,2,FACTORY|KSPCB,2026-03-25,2025-08-11,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00039
KA-BLRU-560068-000040,Varun Textiles Industries,"No 252, B Near Bus Stop, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Textile / Garments,Manufacturing,CLOSED,82,4,BBMP|GST|LABOUR|SHOP,2026-04-27,2021-11-01,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00040
KA-BLRU-560085-000041,Meghana Bites Associates,"No 283, A 1st Cross, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Pharmacy / Medical Retail,Retail,DORMANT,84,2,BBMP|SHOP,2026-04-26,2024-11-16,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00041
KA-MYS-570016-000042,Aditya Circuits Works,"No 157, B Extension, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Electronics Assembly,Manufacturing,ACTIVE,99,5,BBMP|GST|LABOUR|SHOP|UDYAM,2026-04-27,2026-04-15,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00042
KA-TUM-572101-000043,Kaveri Press Enterprises,"No 151, D 2nd Main, BH Road, Tumakuru, Karnataka - 572101",Tumakuru,572101,Printing / Packaging,Manufacturing,ACTIVE,99,3,GST|SHOP|UDYAM,2026-03-19,2026-01-01,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00043
KA-MYS-570016-000044,Aarohi Solutions,"No 37, Behind Metro, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Pharmacy / Medical Retail,Retail,ACTIVE,77,3,BBMP|GST|UDYAM,2026-04-17,2025-11-03,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00044
KA-TUM-572106-000045,Bangalore Garments Solutions,"No 232, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Textile / Garments,Manufacturing,ACTIVE,97,7,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2026-03-17,2026-01-30,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00045
KA-BLRU-560043-000046,Ravi LLP,"No 232, Shed Industrial Layout, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Pharmacy / Medical Retail,Retail,DORMANT,99,3,GST|SHOP|UDYAM,2026-03-06,2024-02-26,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00046
KA-BLRU-560100-000047,Nandi Solvents LLP,"No 219, B 3rd Phase, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Chemical Blending,Manufacturing,ACTIVE,99,4,FACTORY|GST|KSPCB|LABOUR,2026-03-16,2025-12-25,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00047
KA-TUM-572106-000048,Bangalore Dine Associates,"No 65, A Near Bus Stop, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Restaurant / Cafe,Service,DORMANT,84,2,BBMP|SHOP,2026-04-06,2025-04-10,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00048
KA-BLRU-560043-000049,Omkar Pvt Ltd,"No 146, D 3rd Phase, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Plastic Moulding,Manufacturing,ACTIVE,99,6,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2026-03-20,2025-11-14,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00049
KA-BLRU-560102-000050,Ananya Print Works,"No 259, Plot Sector, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Printing / Packaging,Manufacturing,ACTIVE,99,3,GST|SHOP|UDYAM,2026-03-12,2026-04-14,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00050
KA-BLRU-560076-000051,Varun Enterprises,"No 144, Plot Service Road, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Electronics Assembly,Manufacturing,ACTIVE,87,5,GST|KSPCB|LABOUR|SHOP|UDYAM,2026-04-24,2026-02-25,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00051
KA-BLRU-560043-000052,Naveen Company,"No 150, Shed Service Road, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Textile / Garments,Manufacturing,ACTIVE,94,4,GST|LABOUR|SHOP|UDYAM,2026-03-07,2025-07-24,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00052
KA-BLRU-560059-000053,Harsha Packaging Enterprises,"No 28, Plot 1st Cross, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Plastic Moulding,Manufacturing,ACTIVE,99,5,FACTORY|KSPCB|LABOUR|SHOP|UDYAM,2026-03-14,2026-01-10,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00053
KA-BLRU-560037-000054,Srinidhi Milling Traders,"No 224, Shed Behind Metro, Whitefield, Bengaluru Urban, Karnataka - 560037",Bengaluru Urban,560037,Food Processing,Manufacturing,ACTIVE,94,4,GST|KSPCB|SHOP|UDYAM,2026-04-23,2025-09-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00054
KA-BLRU-560059-000055,Bharath Machining Company,"No 114, Plot Extension, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Machine Tools,Manufacturing,ACTIVE,99,5,FACTORY|GST|KSPCB|LABOUR|SHOP,2026-03-07,2026-04-18,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00055
KA-BLRU-560078-000056,Bharath Graphics Solutions,"No 262, Sector, Jayanagar, Bengaluru Urban, Karnataka - 560078",Bengaluru Urban,560078,Printing / Packaging,Manufacturing,ACTIVE,89,3,BBMP|GST|SHOP,2026-04-03,2025-12-09,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00056
KA-MYS-570016-000057,Prakruthi Electronics Industries,"No 8, Plot Main Road, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Electronics Assembly,Manufacturing,ACTIVE,99,4,FACTORY|GST|SHOP|UDYAM,2026-03-22,2025-12-09,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00057
KA-BLRU-560043-000058,Siddhi Systems LLP,"No 285, D Extension, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Electronics Assembly,Manufacturing,ACTIVE,99,5,GST|KSPCB|LABOUR|SHOP|UDYAM,2026-05-02,2026-04-06,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00058
KA-MYS-570018-000059,Bangalore Apparels Company,"No 249, D 3rd Phase, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,Textile / Garments,Manufacturing,ACTIVE,77,3,BBMP|FACTORY|GST,2026-03-15,2025-05-10,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00059
KA-BLRR-562114-000060,Veda Stitch LLP,"No 147, A Main Road, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Textile / Garments,Manufacturing,ACTIVE,99,7,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2026-05-04,2026-04-11,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00060
KA-BLRR-562114-000061,Srinidhi Labs Industries,"No 287, A Main Road, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Chemical Blending,Manufacturing,ACTIVE,94,4,FACTORY|GST|KSPCB|LABOUR,2026-03-06,2026-02-26,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00061
KA-BLRU-560058-000062,Veda Pharma Associates,"No 152, Main Road, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Pharmacy / Medical Retail,Retail,CLOSED,96,2,BBMP|UDYAM,2026-03-20,2023-01-19,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00062
KA-TUM-572101-000063,Lakshmi Graphics Works,"No 278, Plot Near Bus Stop, BH Road, Tumakuru, Karnataka - 572101",Tumakuru,572101,Printing / Packaging,Manufacturing,ACTIVE,77,3,FACTORY|GST|KSPCB,2026-03-08,2026-02-11,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00063
KA-BLRU-560034-000064,Veda Devices Co,"No 236, B Industrial Layout, Koramangala, Bengaluru Urban, Karnataka - 560034",Bengaluru Urban,560034,Electronics Assembly,Manufacturing,ACTIVE,99,6,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2026-04-01,2025-10-05,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00064
KA-BLRU-560076-000065,Sri Agro Industries,"No 275, 1st Cross, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Food Processing,Manufacturing,DORMANT,99,3,GST|SHOP|UDYAM,2026-03-11,2024-08-22,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00065
KA-BLRU-560102-000066,Sree Dine Co,"No 152, B Main Road, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Restaurant / Cafe,Service,CLOSED,77,3,BBMP|LABOUR|SHOP,2026-03-22,2023-02-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00066
KA-BLRU-560029-000067,Sahana Meds Enterprises,"No 28, D 1st Cross, BTM Layout, Bengaluru Urban, Karnataka - 560029",Bengaluru Urban,560029,Pharmacy / Medical Retail,Retail,CLOSED,77,3,GST|SHOP|UDYAM,2026-03-20,2022-09-23,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00067
KA-MYS-570001-000068,Vijaya Bites Industries,"No 100, Plot 1st Cross, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Restaurant / Cafe,Service,DORMANT,72,2,BBMP|SHOP,2026-03-27,2025-04-28,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00068
KA-BLRU-560059-000069,Ravi Health Traders,"No 85, Shed Main Road, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Pharmacy / Medical Retail,Retail,ACTIVE,67,1,BBMP,2026-03-05,2025-12-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00069
KA-BLRU-560001-000070,Sri Spices Solutions,"No 22, Sector, MG Road, Bengaluru Urban, Karnataka - 560001",Bengaluru Urban,560001,Food Processing,Manufacturing,DORMANT,99,3,GST|KSPCB|SHOP,2026-05-01,2024-01-05,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00070
KA-TUM-572106-000071,Prakruthi CNC LLP,"No 3, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Machine Tools,Manufacturing,ACTIVE,99,6,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2026-03-09,2026-04-27,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00071
KA-BLRU-560076-000072,Siddhi Bakery LLP,"No 83, A Main Road, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Food Processing,Manufacturing,CLOSED,84,2,FACTORY|GST,2026-03-11,2022-08-16,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00072
KA-BLRU-560037-000073,Srinidhi Company,"No 297, D 1st Cross, Whitefield, Bengaluru Urban, Karnataka - 560037",Bengaluru Urban,560037,Plastic Moulding,Manufacturing,ACTIVE,99,5,FACTORY|GST|KSPCB|SHOP|UDYAM,2026-03-31,2026-04-10,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00073
KA-BLRU-560085-000074,Kaveri Labels Traders,"No 129, B Sector, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Printing / Packaging,Manufacturing,ACTIVE,89,3,BBMP|FACTORY|KSPCB,2026-03-13,2026-04-21,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00074
KA-BLRU-560066-000075,Ravi Tech Associates,"No 84, A Sector, Whitefield Main Road, Bengaluru Urban, Karnataka - 560066",Bengaluru Urban,560066,Electronics Assembly,Manufacturing,CLOSED,99,4,FACTORY|GST|KSPCB|SHOP,2026-05-02,2022-12-21,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00075
KA-TUM-572106-000076,Bangalore Coatings Co,"No 165, C Main Road, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Chemical Blending,Manufacturing,ACTIVE,96,2,FACTORY|KSPCB,2026-04-12,2025-11-23,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00076
KA-MYS-570001-000077,Ananya Pharma Traders,"No 262, A 1st Cross, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Pharmacy / Medical Retail,Retail,DORMANT,67,1,SHOP,2026-03-12,2025-01-28,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00077
KA-BLRR-562114-000078,Aditya Medical Pvt Ltd,"No 282, Extension, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Pharmacy / Medical Retail,Retail,DORMANT,99,4,BBMP|GST|LABOUR|SHOP,2026-03-29,2024-12-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00078
KA-MYS-570016-000079,Ravi Co,"No 271, A 1st Cross, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Machine Tools,Manufacturing,ACTIVE,89,3,GST|LABOUR|SHOP,2026-03-19,2026-02-22,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00079
KA-BLRU-560068-000080,Meghana Coatings Traders,"No 203, B Behind Metro, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Chemical Blending,Manufacturing,DORMANT,94,4,FACTORY|GST|KSPCB|LABOUR,2026-04-14,2023-07-22,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00080
KA-BLRU-560058-000081,Meghana Wear Traders,"No 120, Plot Sector, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Textile / Garments,Manufacturing,ACTIVE,92,6,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,2026-04-01,2025-07-02,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00081
KA-MYS-570016-000082,Prakruthi Packaging Solutions,"No 142, B Behind Metro, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Plastic Moulding,Manufacturing,DORMANT,99,4,FACTORY|KSPCB|LABOUR|UDYAM,2026-05-02,2024-12-31,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00082
